Antigen,Antigen,Antigen,Antigen,Antigen
"Diphthine methyl ester synthase","Homo sapiens (human)","27","55","24"
"Terminal nucleotidyltransferase 5B","Homo sapiens (human)","16","51","15"
"Inhibitor of growth protein 2","Homo sapiens (human)","10","12","9"
"Liprin-beta-1 (Fragment) (UniProt:F5GZP6)","Homo sapiens (human)","9","9","2"
"L-lactate dehydrogenase C chain","Homo sapiens (human)","9","16","9"
"Nuclear protein 1 (UniProt:O60356)","Homo sapiens (human)","10","21","11"
"Nuclear protein 1 (UniProt:H3BS92)","Homo sapiens (human)","1","2","2"
"Leucine-rich repeat-containing protein 37A3","Homo sapiens (human)","1","1","1"
"Protein argonaute-3","Homo sapiens (human)","42","71","26"
"Copine-1 (Fragment) (UniProt:Q5JX61)","Homo sapiens (human)","1","1","1"
"Actin filament-associated protein 1","Homo sapiens (human)","25","168","16"
"Melanoma antigen family A, 11, isoform CRA_a","Homo sapiens (human)","4","5","4"
"Melanoma-associated antigen 11","Homo sapiens (human)","4","5","4"
"Epidermal growth factor receptor kinase substrate 8-like protein 2 (UniProt:Q9H6S3)","Homo sapiens (human)","14","40","7"
"Myoferlin (Fragment)","Homo sapiens (human)","4","4","3"
"Tubulin beta-8 chain","Homo sapiens (human)","32","76","14"
"AT-hook DNA-binding motif-containing protein 1","Homo sapiens (human)","28","72","19"
"Epidermal growth factor receptor kinase substrate 8-like protein 1 (UniProt:B4DKV7)","Homo sapiens (human)","11","16","6"
"Epidermal growth factor receptor kinase substrate 8-like protein 1 (UniProt:Q8TE68)","Homo sapiens (human)","12","24","8"
"Ubiquitin-conjugating enzyme E2 K","Homo sapiens (human)","39","84","29"
"Uncharacterized protein (UniProt:F1P895)","Canis lupus (wolf or dog)","2","2","1"
"Cysteine desulfurase, mitochondrial","Homo sapiens (human)","16","27","12"
"Cytoadherence linked asexual protein 8","Plasmodium falciparum (malaria parasite P. falciparum)","1","2","1"
"Rap1 GTPase-activating protein 1 (UniProt:A0A0A0MQY8)","Homo sapiens (human)","1","1","1"
"Platelet-activating factor acetylhydrolase IB subunit gamma (Fragment)","Homo sapiens (human)","1","1","1"
"Enolase 2","Toxoplasma gondii","1","1","1"
"Phosphoglucomutase-1 (UniProt:P36871)","Homo sapiens (human)","46","108","20"
"Serine protease HTRA1 (UniProt:A0A3B3IU24)","Homo sapiens (human)","4","4","2"
"Kinesin-like protein KIF13A (UniProt:A0A1B0GUA8)","Homo sapiens (human)","4","4","2"
"Proton-coupled amino acid transporter 4 (Fragment)","Homo sapiens (human)","1","1","1"
"Trifunctional enzyme subunit beta, mitochondrial (UniProt:F5GZQ3)","Homo sapiens (human)","5","5","1"
"AP-3 complex subunit beta (UniProt:A0A590UK04)","Homo sapiens (human)","1","1","1"
"Probable 2-oxoglutarate dehydrogenase E1 component DHKTD1, mitochondrial","Homo sapiens (human)","28","36","11"
"Pyrroline-5-carboxylate reductase 1, mitochondrial (Fragment) (UniProt:J3QRZ0)","Homo sapiens (human)","1","1","1"
"Roquin-1","Homo sapiens (human)","40","76","24"
"Nucleobindin-2","Homo sapiens (human)","397","696","24"
"PSME3-interacting protein (Fragment) (UniProt:H3BTP8)","Homo sapiens (human)","2","2","1"
"LIM and calponin homology domains-containing protein 1 (UniProt:E7EPK0)","Homo sapiens (human)","22","39","11"
"LIM and calponin homology domains-containing protein 1 (UniProt:Q9UPQ0)","Homo sapiens (human)","31","143","8"
"Putative bifunctional UDP-N-acetylglucosamine transferase and deubiquitinase ALG13 (Fragment)","Homo sapiens (human)","2","4","3"
"Bone morphogenetic protein 1","Homo sapiens (human)","30","44","8"
"Monoacylglycerol lipase ABHD6 (Fragment)","Homo sapiens (human)","1","1","1"
"Creatine kinase U-type, mitochondrial (UniProt:F8WCN3)","Homo sapiens (human)","32","121","5"
"Nestin","Homo sapiens (human)","121","404","21"
"Alpha-aminoadipic semialdehyde dehydrogenase (UniProt:P49419)","Homo sapiens (human)","39","102","20"
"Complement component C8 alpha chain","Homo sapiens (human)","101","129","7"
"Splicing regulatory glutamine/lysine-rich protein 1 (UniProt:E5RFV3)","Homo sapiens (human)","4","4","2"
"Thyroxine-binding globulin","Homo sapiens (human)","3","3","2"
"Ceruloplasmin (UniProt:E9PFZ2)","Homo sapiens (human)","2","2","1"
"DNA replication complex GINS protein SLD5 (UniProt:E5RH56)","Homo sapiens (human)","1","1","1"
"Sialic acid synthase","Homo sapiens (human)","45","192","23"
"Reticulocalbin-3","Homo sapiens (human)","25","67","15"
"S-methylmethionine--homocysteine S-methyltransferase BHMT2","Homo sapiens (human)","16","35","8"
"Very long-chain specific acyl-CoA dehydrogenase, mitochondrial","Homo sapiens (human)","112","462","29"
"Type II iodothyronine deiodinase","Homo sapiens (human)","2","2","2"
"A disintegrin and metalloproteinase with thrombospondin motifs 5","Homo sapiens (human)","10","13","7"
"Isthmin-1","Homo sapiens (human)","7","11","4"
"Semaphorin-3C","Homo sapiens (human)","25","38","7"
"DNA-directed RNA polymerase II subunit RPB11-b2 (Fragment)","Homo sapiens (human)","1","1","1"
"Putative transferase CAF17, mitochondrial","Homo sapiens (human)","5","11","7"
"Cell division control protein 42 homolog (UniProt:A0A590UJK8)","Homo sapiens (human)","1","1","1"
"Intersectin-1 (UniProt:Q15811)","Homo sapiens (human)","30","53","10"
"CDK5 regulatory subunit-associated protein 2 (Fragment) (UniProt:B1AMJ5)","Homo sapiens (human)","1","1","1"
"WASH complex subunit 3 (UniProt:F5GWI9)","Homo sapiens (human)","9","37","2"
"WASH complex subunit 3 (UniProt:F5GZ97)","Homo sapiens (human)","2","2","2"
"Lipoma-preferred partner (UniProt:Q93052)","Homo sapiens (human)","87","298","19"
"Olfactomedin-like protein 2B (UniProt:Q68BL8)","Homo sapiens (human)","26","157","16"
"UTP--glucose-1-phosphate uridylyltransferase (UniProt:A0A087WYS1)","Homo sapiens (human)","6","6","2"
"Uncharacterized protein (UniProt:E7ETN3)","Homo sapiens (human)","8","10","4"
"Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1 (UniProt:A0A0A0MSD0)","Homo sapiens (human)","11","14","4"
"Guanine deaminase (Fragment)","Homo sapiens (human)","5","5","1"
"Guanine deaminase","Homo sapiens (human)","487","532","13"
"Syntaxin-2","Homo sapiens (human)","5","5","5"
"Phosphorylase b kinase regulatory subunit alpha, skeletal muscle isoform","Homo sapiens (human)","33","57","15"
"Ribulose-5-phosphate-3-epimerase, isoform CRA_a","Homo sapiens (human)","7","17","4"
"FYVE, RhoGEF and PH domain-containing protein 4 (UniProt:F8W1R0)","Homo sapiens (human)","3","4","3"
"Zinc finger protein ZIC 2","Homo sapiens (human)","20","34","11"
"Tight junction protein ZO-1 (UniProt:A0A087X0K9)","Homo sapiens (human)","5","5","1"
"Upstream stimulatory factor 1 (UniProt:B1AQP1)","Homo sapiens (human)","3","3","2"
"F-BAR domain only protein 2 (UniProt:Q0JRZ9)","Homo sapiens (human)","31","168","18"
"RING finger protein 24","Homo sapiens (human)","6","13","6"
"Lathosterol oxidase (UniProt:E9PQ91)","Homo sapiens (human)","5","5","2"
"Reticulocalbin-3 (Fragment) (UniProt:M0QYB8)","Homo sapiens (human)","3","3","1"
"Ubiquitin-conjugating enzyme E2 G1","Homo sapiens (human)","23","56","31"
"Diacylglycerol O-acyltransferase 1 (UniProt:O75907)","Homo sapiens (human)","22","92","29"
"Long-chain fatty acid transport protein 4","Homo sapiens (human)","17","36","14"
"PR domain zinc finger protein 10 (Fragment)","Homo sapiens (human)","12","30","14"
"von Willebrand factor D and EGF domain-containing protein (UniProt:Q8N2E2)","Homo sapiens (human)","3","3","3"
"Glutathione S-transferase (UniProt:A0A0A0MTN3)","Homo sapiens (human)","2","2","2"
"Soluble lamin-associated protein of 75 kDa (UniProt:D6RB01)","Homo sapiens (human)","1","3","3"
"Soluble lamin-associated protein of 75 kDa (UniProt:Q9Y6X4)","Homo sapiens (human)","7","18","10"
"Phosphoribosyltransferase domain-containing protein 1","Homo sapiens (human)","5","5","4"
"Beta-galactosidase (UniProt:E7EQ29)","Homo sapiens (human)","4","4","2"
"RAN binding protein 2 (UniProt:A0A5F4D6Y9)","Canis lupus (wolf or dog)","1","1","1"
"Eukaryotic initiation factor 4A-I (Fragment)","Homo sapiens (human)","2","2","1"
"Cell cycle progression 1","Canis lupus (wolf or dog)","1","1","1"
"Laminin subunit alpha-3 (UniProt:A0A0A0MSA0)","Homo sapiens (human)","3","3","2"
"Sorting nexin-33","Homo sapiens (human)","12","21","8"
"Putative heat shock protein HSP 90-beta 4","Homo sapiens (human)","15","65","5"
"Mpv17-like protein","Homo sapiens (human)","3","3","2"
"FXYD domain-containing ion transport regulator (UniProt:A0A087WZ82)","Homo sapiens (human)","4","4","2"
"MAM domain-containing protein 2 (Fragment)","Homo sapiens (human)","3","3","3"
"Superoxide dismutase (Fragment)","Homo sapiens (human)","4","4","2"
"Vasorin","Homo sapiens (human)","26","58","11"
"FLYWCH family member 2 (UniProt:I3L1Y9)","Homo sapiens (human)","5","5","5"
"Proprotein convertase subtilisin/kexin type 9","Homo sapiens (human)","44","67","16"
"Palmdelphin (UniProt:S4R313)","Homo sapiens (human)","8","9","4"
"Lysosomal thioesterase PPT2","Homo sapiens (human)","9","12","5"
"DENN domain-containing protein 2B (UniProt:B4DDL8)","Homo sapiens (human)","10","12","6"
"DENN domain-containing protein 2B (UniProt:P78524)","Homo sapiens (human)","26","45","11"
"Volume-regulated anion channel subunit LRRC8E","Homo sapiens (human)","17","32","14"
"Coxsackievirus and adenovirus receptor","Homo sapiens (human)","20","20","3"
"28 kDa heat- and acid-stable phosphoprotein","Homo sapiens (human)","32","95","20"
"Periplakin (UniProt:K7EKI8)","Homo sapiens (human)","9","13","4"
"Calcium-binding mitochondrial carrier protein Aralar2","Homo sapiens (human)","73","148","27"
"Heparan-alpha-glucosaminide N-acetyltransferase (UniProt:E5RJN0)","Homo sapiens (human)","1","1","1"
"Protein ABHD14B (UniProt:Q96IU4)","Homo sapiens (human)","54","85","13"
"Zinc transporter SLC39A7","Homo sapiens (human)","37","79","19"
"Acyl-coenzyme A thioesterase 2, mitochondrial (UniProt:A0A087WT95)","Homo sapiens (human)","6","9","4"
"Protein TSSC4 (Fragment)","Homo sapiens (human)","4","7","4"
"ATP-binding cassette sub-family A member 2 (Fragment) (UniProt:H0Y8D6)","Homo sapiens (human)","13","23","7"
"Protein MTSS 2 (UniProt:Q765P7)","Homo sapiens (human)","35","123","18"
"Acidic leucine-rich nuclear phosphoprotein 32 family member D","Homo sapiens (human)","5","10","3"
"PPM-type phosphatase domain-containing protein","Homo sapiens (human)","5","9","5"
"Protein phosphatase 1L","Homo sapiens (human)","18","28","14"
"Nucleoside diphosphate kinase A (UniProt:E7ERL0)","Homo sapiens (human)","2","3","3"
"ATP-dependent (S)-NAD(P)H-hydrate dehydratase","Homo sapiens (human)","26","86","24"
"Ig-like domain-containing protein (UniProt:A0A087X1L8)","Homo sapiens (human)","4","4","2"
"Ubiquitin-like modifier-activating enzyme 1 (Fragment) (UniProt:Q5JRS3)","Homo sapiens (human)","2","2","1"
"Alanine--tRNA ligase","Toxoplasma gondii","3","3","1"
"Transcriptional activator GLI3 (UniProt:P10071)","Homo sapiens (human)","9","10","5"
"ATP-dependent DNA helicase Q4 (UniProt:A0A087X072)","Homo sapiens (human)","14","17","9"
"Tensin-1 (UniProt:E9PGF5)","Homo sapiens (human)","6","6","1"
"Aldehyde dehydrogenase family 3 member A2","Homo sapiens (human)","74","209","16"
"Aldehyde dehydrogenase family 3 member A2 (Fragment) (UniProt:A0A5F9ZI12)","Homo sapiens (human)","12","15","7"
"Cysteine and glycine-rich protein 1 (UniProt:E9PS42)","Homo sapiens (human)","4","4","3"
"Aminomethyltransferase","Homo sapiens (human)","4","7","6"
"F-box only protein 50","Homo sapiens (human)","5","9","5"
"Disabled homolog 2-interacting protein (Fragment)","Homo sapiens (human)","13","18","9"
"Nuclear receptor subfamily 4 group A member 3","Homo sapiens (human)","14","18","9"
"Malate dehydrogenase (Fragment)","Homo sapiens (human)","3","3","1"
"3-hydroxyisobutyrate dehydrogenase, mitochondrial","Homo sapiens (human)","24","69","12"
"F-box only protein 2","Homo sapiens (human)","3","3","2"
"Caseinolytic peptidase B protein homolog (Fragment) (UniProt:A0A2R8Y602)","Homo sapiens (human)","3","4","2"
"Calcineurin subunit B type 2","Homo sapiens (human)","1","1","1"
"Sodium-coupled neutral amino acid transporter 4","Homo sapiens (human)","17","19","9"
"HLA class I histocompatibility antigen, C alpha chain (UniProt:A0A140T962)","Homo sapiens (human)","1","1","1"
"Multiple coagulation factor deficiency protein 2 (UniProt:A0A3B3IU18)","Homo sapiens (human)","60","172","6"
"E3 ubiquitin-protein ligase listerin (Fragment)","Homo sapiens (human)","1","1","1"
"D-glutamate cyclase, mitochondrial","Homo sapiens (human)","20","51","4"
"Sodium-dependent neutral amino acid transporter B(0)AT1","Homo sapiens (human)","14","32","6"
"NOELIN1_V5","Homo sapiens (human)","1","1","1"
"Torsin-1A-interacting protein 2, isoform IFRG15","Homo sapiens (human)","11","25","11"
"Homeobox protein Hox-A13","Homo sapiens (human)","10","13","12"
"Putative phosphoserine phosphatase-like protein","Homo sapiens (human)","7","14","9"
"Non-specific lipid-transfer protein (Fragment) (UniProt:H0YCB0)","Homo sapiens (human)","1","1","1"
"Glucagon-like peptide 2 receptor","Homo sapiens (human)","14","21","8"
"General transcription factor 3C polypeptide 2 (Fragment) (UniProt:H7C3X9)","Homo sapiens (human)","1","1","1"
"Rho GTPase-activating protein 5 (UniProt:A0A0A0MSK6)","Homo sapiens (human)","8","9","2"
"G protein pathway suppressor 2 (Fragment) (UniProt:I3L3Y9)","Homo sapiens (human)","1","1","1"
"Plasmolipin","Homo sapiens (human)","7","7","4"
"Dynein heavy chain 14, axonemal (UniProt:M9MMK7)","Homo sapiens (human)","3","4","4"
"MFS-type transporter SLC18B1 (UniProt:Q6NT16)","Homo sapiens (human)","6","9","7"
"MFS-type transporter SLC18B1 (UniProt:A0A3B3IU67)","Homo sapiens (human)","10","14","6"
"Aldehyde dehydrogenase X, mitochondrial","Homo sapiens (human)","35","170","9"
"Transcription initiation factor IIA subunit 1 (UniProt:P52655)","Homo sapiens (human)","33","94","25"
"Dynamin-1-like protein (UniProt:B4DPZ9)","Homo sapiens (human)","1","1","1"
"tRNA-dihydrouridine(20a/20b) synthase [NAD(P)+]-like","Homo sapiens (human)","7","16","7"
"Pyrroline-5-carboxylate reductase 2 (Fragment)","Homo sapiens (human)","1","1","1"
"Myotubularin-related protein 13","Homo sapiens (human)","39","113","26"
"AP-3 complex subunit sigma-2 (UniProt:P59780)","Homo sapiens (human)","14","33","7"
"Noelin (Fragment)","Homo sapiens (human)","1","2","2"
"Noelin (UniProt:Q99784)","Homo sapiens (human)","17","20","5"
"Nuclear factor 1 (UniProt:Q5VW30)","Homo sapiens (human)","1","1","1"
"Inter-alpha-trypsin inhibitor heavy chain H3","Homo sapiens (human)","99","225","13"
"Hyaluronidase-1","Homo sapiens (human)","9","49","8"
"CCR4-NOT transcription complex subunit 10 (Fragment)","Homo sapiens (human)","1","2","2"
"Galanin peptides","Homo sapiens (human)","95","140","8"
"SH3 and PX domain-containing protein 2B","Homo sapiens (human)","10","17","11"
"Phosphatidylinositol 3-kinase catalytic subunit type 3 (UniProt:A0A1W2PS05)","Homo sapiens (human)","3","3","3"
"Formin binding protein 1","Canis lupus (wolf or dog)","1","1","1"
"Polyubiquitin-B (Fragment)","Homo sapiens (human)","1","1","1"
"Ubiquitin-60S ribosomal protein L40 (Fragment) (UniProt:M0R2S1)","Homo sapiens (human)","3","3","2"
"CXADR-like membrane protein","Homo sapiens (human)","13","22","12"
"Solute carrier family 35 member E2B","Homo sapiens (human)","21","44","24"
"Squalene monooxygenase (Fragment)","Homo sapiens (human)","1","2","2"
"Beta-2-microglobulin (Fragment)","Homo sapiens (human)","1","1","1"
"Protein Niban 2","Homo sapiens (human)","68","306","24"
"Peptidyl-prolyl cis-trans isomerase FKBP9","Homo sapiens (human)","43","485","23"
"Peptidylprolyl isomerase (Fragment) (UniProt:C9J4P8)","Homo sapiens (human)","5","5","1"
"Equilibrative nucleoside transporter 3 (UniProt:Q9BZD2)","Homo sapiens (human)","10","16","7"
"Rho guanine nucleotide exchange factor 12 (UniProt:E9PMR6)","Homo sapiens (human)","2","2","2"
"Phosphodiesterase (Fragment)","Homo sapiens (human)","1","1","1"
"Protein FAM200A (Fragment)","Homo sapiens (human)","1","1","1"
"Matrix metalloproteinase-15","Homo sapiens (human)","49","107","9"
"Solute carrier family 12 member 4 (UniProt:Q9UP95)","Homo sapiens (human)","20","26","15"
"Emopamil binding protein-like, isoform CRA_b","Homo sapiens (human)","1","1","1"
"Coordinator of PRMT5 and differentiation stimulator (Fragment)","Homo sapiens (human)","1","1","1"
"Elongation factor G, mitochondrial (UniProt:F8WAU4)","Homo sapiens (human)","2","2","1"
"Cullin 4B, isoform CRA_e","Homo sapiens (human)","2","2","2"
"DENN domain-containing protein 1B (UniProt:B3KR95)","Homo sapiens (human)","4","5","3"
"USP6 N-terminal-like protein (UniProt:X6RAB3)","Homo sapiens (human)","5","7","3"
"USP6 N-terminal-like protein (UniProt:Q92738)","Homo sapiens (human)","16","24","18"
"Protein PET100 homolog, mitochondrial (UniProt:M0R022)","Homo sapiens (human)","7","20","8"
"F-box only protein 8 (UniProt:D6RJ92)","Homo sapiens (human)","1","1","1"
"p53 apoptosis effector related to PMP-22","Homo sapiens (human)","7","26","7"
"Forkhead box protein L1","Homo sapiens (human)","4","11","4"
"Forkhead box protein L1 (Fragment)","Homo sapiens (human)","2","2","1"
"Thioredoxin reductase 1, cytoplasmic (UniProt:Q16881)","Homo sapiens (human)","109","373","27"
"Thioredoxin reductase 1, cytoplasmic (UniProt:E2QRB9)","Homo sapiens (human)","15","21","7"
"Protein unc-119 homolog B","Homo sapiens (human)","15","104","26"
"ARF GTPase-activating protein GIT1 (UniProt:J3QRU8)","Homo sapiens (human)","5","5","4"
"Serine-protein kinase ATM (Fragment) (UniProt:H0YDU7)","Homo sapiens (human)","2","2","1"
"Exocyst complex component (UniProt:J3QT38)","Homo sapiens (human)","11","12","6"
"Kelch domain-containing protein 7B (UniProt:A0A3B3ISF6)","Homo sapiens (human)","3","5","2"
"Pleckstrin homology domain-containing family B member 2 (UniProt:B7WPA5)","Homo sapiens (human)","3","3","1"
"Inositol 1,4,5-trisphosphate receptor type 1 (UniProt:A0A3F2YNW8)","Homo sapiens (human)","1","1","1"
"Putative protein phosphatase inhibitor 2-like protein 1","Homo sapiens (human)","6","9","4"
"Non-specific lipid-transfer protein (Fragment) (UniProt:H0YF61)","Homo sapiens (human)","3","3","3"
